"","SV, tau=0","SV, tau=0.025","SV, tau=0.05","SV, tau=0.075","SV, tau=0.1","SV, tau=0.125","SV, tau=0.15","SV, tau=0.175","SV, tau=0.2","SV, tau=0.225","SV, tau=0.25","SV, tau=0.275","SV, tau=0.3","SV, tau=0.325","SV, tau=0.35","SV, tau=0.375","SV, tau=0.4","SV, tau=0.425","SV, tau=0.45","SV, tau=0.475","SV, tau=0.5","SV, tau=0.525","SV, tau=0.55","SV, tau=0.575","SV, tau=0.6","SV, tau=0.625","SV, tau=0.65","SV, tau=0.675","SV, tau=0.7","SV, tau=0.725","SV, tau=0.75","SV, tau=0.775","SV, tau=0.8","SV, tau=0.825","SV, tau=0.85","SV, tau=0.875","SV, tau=0.9","SV, tau=0.925","SV, tau=0.95","SV, tau=0.975","SV, tau=1"
"2192",0.581,0.524,0.678,0.134,0.127,0.016,0.245,0.421,0.557,0.443,0.032,0.256,0.055,0.016,0.03,0.016,0.198,0.009,0,0.002,0.004,0,0.002,0.061,0,0.008,0.033,0.016,0.148,0.015,0.007,0.004,0,0,0.016,0,0,0.028,0.008,0,0
"2193",0.073,0.531,0.137,0.662,0.679,0.927,0.153,0.572,0.101,0.014,0.773,0.094,0.039,0.343,0.036,0.025,0.108,0,0.003,0,0.017,0,0.056,0.001,0.001,0.02,0,0,0,0,0.143,0.001,0,0,0,0,0.001,0,0,0,0
"2194",0.698,0.394,0.569,0.664,0.476,0.073,0.069,0.139,0.646,0.032,0.163,0.094,0.005,0,0.079,0.76,0.408,0.012,0.029,0,0,0,0.019,0,0,0.053,0,0,0,0,0.006,0,0.007,0.022,0.002,0.026,0.025,0.009,0,0.001,0.026
"2195",0.701,0.034,0.774,0.293,0.031,0.318,0.166,0.118,0.006,0,0.047,0.051,0.064,0.114,0.117,0.22,0.001,0.011,0,0.006,0,0.001,0,0,0.009,0,0.03,0.001,0.072,0,0,0.002,0.002,0.003,0.038,0,0.002,0,0.043,0.022,0.012
"2196",0.104,0.66,0.055,0.026,0.668,0.991,0.902,0.717,0.147,0.252,0.036,0.337,0.01,0.002,0.005,0.013,0.067,0.312,0.01,0.018,0.002,0.01,0.043,0.012,0.078,0.053,0.004,0,0.002,0.002,0.005,0,0,0,0.017,0.015,0.014,0,0,0.001,0.038
"2197",0.024,0.327,0.734,0.647,0.456,0.899,0.501,0.773,0.755,0.043,0.154,0.971,0.004,0.044,0.188,0.002,0.007,0.136,0.015,0.005,0.003,0,0,0,0,0.002,0,0.012,0,0.002,0,0.022,0.001,0.003,0.011,0,0,0,0.001,0,0
"2198",0.57,0.088,0.699,0.943,0.484,0.139,0.737,0.55,0.282,0.584,0.282,0.847,0.049,0.002,0.03,0.002,0.007,0,0,0.011,0.013,0,0,0.014,0,0.077,0.003,0.802,0.017,0.009,0.001,0,0.009,0,0.097,0,0,0,0,0,0.003
"2199",0.002,0.794,0.104,0.084,0.436,0.09,0.329,0.672,0.639,0.019,0.669,0.139,0.971,0,0.056,0.331,0.007,0.109,0.001,0.023,0,0,0.003,0.002,0.004,0.038,0,0.013,0,0,0,0.024,0,0,0.027,0,0,0,0,0,0
"2200",0.349,0.752,0.093,0.491,0.081,0.193,0.399,0.657,0.203,0.273,0.074,0.001,0.134,0,0.142,0.015,0.21,0.153,0.005,0.081,0,0.06,0,0.016,0.001,0.025,0.037,0,0.039,0,0.003,0.003,0,0.004,0.001,0,0.003,0,0,0.002,0
"2201",0.836,0.677,0.6,0.569,0.355,0.752,0.092,0.047,0.884,0.009,0.019,0.013,0.053,0.013,0.347,0,0.03,0.191,0.01,0.007,0.163,0.071,0.003,0.124,0,0,0.019,0,0.003,0.079,0.004,0.005,0.008,0,0,0,0,0.106,0,0,0.001
"2202",0.323,0.772,0.092,0.552,0.272,0.867,0.828,0.8,0.339,0.399,0.345,0.05,0.048,0.174,0.009,0.053,0.008,0,0.419,0.035,0,0.013,0.078,0.029,0.084,0.001,0.001,0,0.003,0.003,0.012,0,0.006,0.003,0,0,0,0,0.262,0,0
"2203",0.778,0.784,0.337,0.318,0.012,0.285,0.662,0.953,0.039,0.976,0.084,0.568,0.193,0.008,0.036,0.068,0.593,0.026,0.29,0.001,0.003,0,0,0.112,0.019,0.046,0.007,0,0.011,0.138,0,0.002,0.005,0.01,0.001,0.027,0.002,0.001,0,0.011,0.041
