"","SV, tau=0","SV, tau=0.025","SV, tau=0.05","SV, tau=0.075","SV, tau=0.1","SV, tau=0.125","SV, tau=0.15","SV, tau=0.175","SV, tau=0.2","SV, tau=0.225","SV, tau=0.25","SV, tau=0.275","SV, tau=0.3","SV, tau=0.325","SV, tau=0.35","SV, tau=0.375","SV, tau=0.4","SV, tau=0.425","SV, tau=0.45","SV, tau=0.475","SV, tau=0.5","SV, tau=0.525","SV, tau=0.55","SV, tau=0.575","SV, tau=0.6","SV, tau=0.625","SV, tau=0.65","SV, tau=0.675","SV, tau=0.7","SV, tau=0.725","SV, tau=0.75","SV, tau=0.775","SV, tau=0.8","SV, tau=0.825","SV, tau=0.85","SV, tau=0.875","SV, tau=0.9","SV, tau=0.925","SV, tau=0.95","SV, tau=0.975","SV, tau=1"
"1",0.537,0.897,0.253,0.292,0.501,0.084,0,0.533,0.019,0.806,0.649,0.001,0.057,0.074,0.044,0.018,0,0.113,0,0.001,0.004,0,0.008,0.001,0.008,0,0,0,0,0.003,0.032,0.042,0.002,0.001,0,0.058,0,0.012,0.014,0.007,0.001
"2",0.664,0.593,0.882,0.525,0.47,0.907,0.081,0.265,0.892,0.335,0.133,0.136,0.005,0.068,0.01,0.036,0.011,0.112,0.006,0.001,0.097,0.292,0,0.136,0.007,0,0,0,0,0,0.015,0.013,0.016,0,0.05,0,0,0.001,0.028,0.048,0
"3",0.368,0.166,0.969,0.286,0.252,0.668,0.041,0.698,0.198,0.616,0.439,0.065,0.027,0.035,0.001,0.005,0.086,0.066,0.003,0,0,0.057,0.002,0.033,0.064,0,0.004,0,0,0,0,0,0.012,0.044,0,0,0.001,0.001,0,0.002,0
"4",0.591,0.97,0.115,0.574,0.783,0.39,0.797,0.752,0.072,0.444,0.058,0.128,0.073,0.252,0.004,0.001,0.468,0.026,0.098,0,0.028,0.046,0.001,0.003,0.026,0,0,0.103,0.051,0,0,0.013,0.044,0,0,0,0,0,0,0,0
"5",0.856,0.121,0.309,0.899,0.031,0.004,0.733,0.831,0.536,0.019,0.307,0.085,0.072,0.267,0,0.258,0.069,0,0.044,0,0.023,0,0.008,0,0.002,0,0,0,0.004,0.007,0,0.004,0.005,0,0,0.02,0,0,0.059,0.027,0.001
"6",0.22,0.916,0.588,0.636,0.213,0.482,0.792,0.275,0.053,0.672,0.061,0.299,0.568,0.099,0.03,0.073,0.065,0,0.103,0.001,0.031,0,0.078,0.014,0,0.002,0,0.001,0,0.002,0.007,0,0.005,0,0,0,0,0,0.001,0,0.001
"7",0.29,0.772,0.843,0.754,0.751,0.146,0.076,0.014,0.135,0.018,0.074,0.942,0,0.016,0.005,0.013,0.005,0,0.02,0.008,0.001,0,0,0.015,0,0.001,0.007,0.004,0.002,0.005,0.001,0,0,0,0.002,0.074,0,0.001,0.003,0.025,0.011
"8",0.522,0.806,0.131,0.104,0.393,0.672,0.895,0.943,0.9,0.017,0.053,0.035,0.534,0.302,0.829,0.008,0,0,0.003,0.048,0.03,0.004,0.134,0.121,0.024,0,0.177,0.022,0,0.021,0.003,0.003,0.01,0.07,0,0,0,0.015,0,0,0
"9",0.418,0.946,0.058,0.933,0.716,0.401,0.004,0.344,0.233,0.199,0,0.299,0.008,0.201,0.513,0.067,0.002,0.024,0.001,0.085,0,0.016,0.042,0.033,0.002,0.001,0.002,0.091,0.061,0.005,0.008,0.02,0.001,0.013,0.007,0.001,0.004,0.007,0.001,0,0.02
"10",0.077,0.303,0.653,0.101,0.709,0.06,0.626,0.673,0.001,0.483,0.23,0.362,0.001,0.086,0.724,0.155,0.029,0.036,0,0.002,0.053,0.002,0,0.01,0.016,0.009,0,0.005,0,0,0.002,0,0.015,0.001,0.019,0.061,0.002,0.018,0,0.012,0
"11",0.627,0.703,0.618,0.954,0.901,0.573,0.019,0.207,0.382,0.01,0.348,0.182,0.029,0.196,0.002,0.002,0.008,0.004,0.071,0.003,0,0,0,0.086,0,0.132,0,0,0.01,0.007,0,0.004,0,0,0,0.022,0.015,0.001,0,0.002,0
"12",0.583,0.966,0.591,0.252,0.993,0.168,0.336,0.789,0.274,0.01,0.24,0.03,0.005,0.001,0.005,0.026,0.001,0,0,0,0.039,0.001,0,0.001,0,0.076,0.032,0,0.009,0,0.001,0.022,0,0,0,0.006,0,0.002,0,0,0.001
"13",0.334,0.596,0.158,0.928,0.561,0.788,0.904,0.76,0.55,0.772,0.008,0.556,0.29,0.006,0.091,0.103,0.007,0,0.045,0.415,0,0.035,0.002,0,0,0.001,0.017,0.04,0,0.004,0.08,0,0.005,0.037,0,0.015,0.004,0,0,0.023,0
"14",0.616,0.888,0.012,0.807,0.917,0.084,0.573,0.168,0.106,0.911,0.098,0.32,0.029,0.246,0.03,0.011,0,0.03,0.019,0,0,0.019,0.032,0,0,0.011,0.024,0.054,0,0.001,0.03,0,0,0.004,0.002,0,0,0.002,0.001,0.002,0
"15",0.155,0.422,0.989,0.354,0.399,0.603,0.75,0.92,0.508,0.846,0.075,0.036,0.093,0.074,0.032,0.002,0.082,0.05,0.009,0,0.017,0,0,0,0,0.032,0.012,0.023,0.001,0.026,0,0,0,0,0.169,0,0,0.002,0,0,0.036
"16",0.23,0.386,0.613,0.789,0.301,0.516,0.224,0.122,0.01,0.951,0.169,0.645,0.104,0.003,0,0,0.098,0,0.027,0.032,0.001,0,0.077,0,0.001,0.004,0.078,0.034,0,0.002,0.023,0,0.004,0,0,0.037,0.089,0,0,0,0
"17",0.918,0.667,0.035,0.455,0.756,0.596,0.895,0.968,0.059,0.452,0.222,0.052,0.047,0.002,0.001,0.048,0.035,0.402,0.047,0.023,0.006,0,0.006,0.001,0.057,0,0.034,0.002,0,0.005,0.007,0,0,0,0.007,0.012,0.018,0.015,0,0.01,0
"18",0.402,0.791,0.95,0.002,0.837,0.29,0.069,0.297,0.36,0.232,0.525,0.594,0.02,0.009,0.451,0.112,0.001,0.032,0.049,0.021,0.017,0,0.008,0,0.189,0,0.003,0,0.013,0,0,0,0,0,0,0.019,0.022,0,0.003,0,0
"19",0.166,0.986,0.755,0.292,0.971,0.891,0.066,0.182,0.375,0.015,0.07,0.044,0,0.128,0.145,0.055,0.035,0.224,0.046,0,0.008,0,0.206,0.011,0.001,0.064,0,0,0.005,0,0,0.022,0.042,0,0,0.005,0.002,0.014,0.001,0.004,0
"20",0.764,0.967,0.372,0.533,0.886,0.903,0.946,0.586,0.656,0.587,0.047,0.224,0.114,0.125,0,0.009,0.01,0.069,0,0.002,0.01,0,0,0,0,0.229,0,0.016,0.017,0,0,0,0,0.001,0,0.006,0,0.001,0.003,0,0
"21",0.533,0.536,0.93,0.237,0.299,0.135,0.515,0.088,0.202,0.067,0.742,0,0.952,0.006,0.023,0.019,0.04,0.019,0.004,0.332,0.008,0.004,0.139,0,0.005,0.01,0,0.001,0,0.036,0.021,0.003,0,0,0.001,0,0,0,0,0.003,0
"22",0.645,0.025,0.548,0.754,0.842,0.107,0.521,0.2,0.132,0.079,0.017,0.752,0.499,0.819,0.011,0.01,0,0.001,0,0.002,0.015,0,0.001,0.009,0.081,0.003,0.001,0,0.003,0.071,0,0,0,0,0,0.155,0.006,0.004,0,0.001,0.012
"23",0.268,0.053,0.661,0.124,0.517,0.365,0.969,0.201,0.131,0.771,0.115,0.083,0.261,0.88,0.02,0.003,0.004,0.007,0.005,0.02,0.012,0,0.156,0.003,0,0.002,0.008,0.002,0,0,0.001,0.029,0.027,0,0.011,0,0,0,0,0.002,0
"24",0.223,0.928,0.126,0.094,0.018,0.926,0.48,0.114,0.192,0.228,0.036,0.511,0.746,0.077,0.038,0.01,0.281,0.005,0,0.004,0.007,0.002,0,0,0,0,0.094,0.046,0.002,0.002,0,0,0.022,0.001,0,0,0,0,0,0.012,0.01
"25",0.822,0.919,0.396,0.08,0.126,0.631,0.406,0.026,0.873,0.013,0.137,0.081,0.21,0.011,0.054,0.113,0.001,0.017,0.055,0.041,0.094,0,0.244,0.001,0,0.001,0.004,0,0.023,0.01,0,0.003,0.014,0,0.001,0,0,0.001,0,0,0.003
"26",0.8,0.501,0.176,0.185,0.627,0.371,0.589,0.74,0.047,0.024,0.027,0.042,0.304,0.918,0.175,0,0.022,0,0.095,0.006,0,0.016,0.017,0,0.008,0,0,0.004,0.043,0.003,0.01,0,0.002,0.031,0,0.007,0,0.013,0,0.02,0
"27",0.797,0.055,0.869,0.231,0.478,0.33,0.837,0.438,0.285,0.146,0.621,0.723,0,0,0.247,0.421,0.009,0.021,0,0.074,0,0.005,0.027,0.037,0,0.017,0.029,0,0.044,0.001,0,0.002,0.066,0,0.001,0.009,0.001,0.002,0.001,0,0.007
"28",0.031,0.963,0.999,0.539,0.05,0.336,0.847,0.015,0.112,0,0.005,0.146,0.717,0.469,0.101,0,0,0.029,0,0.001,0.001,0.121,0,0,0.015,0.013,0.007,0.004,0.001,0.009,0,0.464,0.001,0.002,0.003,0,0,0,0,0.006,0
"29",0.931,0.471,0.474,0.993,0.923,0.021,0.401,0.995,0.226,0.293,0.094,0.293,0.173,0.057,0.119,0.06,0.043,0,0.079,0.002,0.007,0,0,0,0.002,0.001,0,0.012,0.014,0.003,0.005,0,0.013,0.059,0,0.001,0,0.005,0.003,0.011,0.001
"30",0.804,0.518,0.704,0.353,0.275,0.716,0.168,0.265,0.001,0.97,0.029,0.155,0.003,0.397,0.056,0.004,0.072,0.002,0.01,0.003,0.214,0.022,0,0.094,0.005,0,0.02,0.002,0,0.003,0.047,0,0,0.012,0,0.003,0,0,0,0.005,0.001
"31",0.794,0.503,0.385,0.938,1,0.797,0.157,0.533,0.763,0.886,0.044,0.412,0,0.013,0.093,0.002,0.014,0.007,0.051,0.03,0.078,0.002,0.011,0.002,0,0,0.003,0,0.01,0,0.002,0.002,0,0.009,0.001,0.005,0.003,0,0,0.027,0
"32",0.596,0.913,0.128,0.641,0.49,0.101,0.813,0.3,0.329,0.137,0.007,0.492,0.074,0.003,0.034,0.051,0.425,0.04,0.047,0.078,0.005,0.01,0.002,0.121,0,0.002,0,0.026,0,0.061,0.027,0.001,0,0.056,0,0.029,0.006,0.065,0.041,0,0.001
"33",0.574,0.4,0.615,0.741,0.047,0.306,0.643,0.42,0.499,0.062,0.128,0.033,0.159,0.138,0.686,0.006,0.194,0.016,0,0.004,0.623,0.002,0.035,0.036,0.001,0.003,0.001,0,0,0,0.017,0,0,0.001,0,0,0.03,0,0.027,0.045,0.001
"34",0.752,0.133,0.965,0.227,0.295,0.657,0.416,0.02,0.089,0.013,0,0.037,0.015,0.059,0.039,0.008,0.034,0.023,0,0.052,0.121,0.005,0.091,0.003,0,0,0,0.012,0.009,0,0.026,0.001,0.002,0.001,0,0,0,0.004,0.077,0.011,0
"35",0.961,0.884,0.104,0.47,0.749,0.629,0.075,0.342,0.924,0.329,0.029,0.542,0.205,0.002,0,0.013,0.035,0.002,0.006,0.004,0.01,0.002,0.001,0.002,0.002,0,0,0.01,0,0.001,0,0,0.001,0.001,0.002,0.002,0,0.065,0,0,0.007
"36",0.904,0.477,0.749,0.143,0.575,0.02,0.74,0.881,0.421,0.772,0.678,0.05,0.003,0.006,0.013,0.002,0.08,0.023,0.019,0.156,0,0.097,0.16,0,0.014,0.001,0.028,0.002,0.023,0.008,0,0.116,0.004,0,0.003,0,0.001,0,0,0,0.002
"37",0.937,0.396,0.302,0.123,0.25,0.16,0.277,0.368,0.146,0.304,0.694,0.014,0.12,0.082,0.074,0,0,0.103,0.021,0.005,0.038,0.008,0.001,0.002,0.017,0.002,0.001,0,0,0,0,0,0.005,0.011,0.004,0,0.017,0.001,0,0.006,0
"38",0.593,0.614,0.098,0.712,0.946,0.283,0.816,0.166,0.134,0.17,0.739,0.547,0.026,0.087,0,0.01,0.012,0.008,0.045,0,0.009,0,0.009,0.004,0.001,0.002,0.006,0.003,0.011,0.008,0,0,0,0.005,0,0,0.084,0,0.075,0.029,0.009
"39",0.152,0.022,0.535,0.211,0.061,0.897,0.45,0.43,0.057,0.573,0.979,0.589,0.043,0.005,0.002,0.003,0.051,0.005,0.008,0.005,0.105,0.014,0.001,0.015,0,0.002,0.012,0.001,0.014,0.004,0,0.006,0,0,0.001,0.004,0,0.002,0,0.035,0.016
"40",0.76,0.557,0.088,0.805,0.763,0.638,0.154,0.816,0.085,0.14,0.613,0.672,0.09,0.004,0.157,0.006,0.002,0,0.001,0.001,0.43,0,0.006,0.01,0,0.066,0.06,0.086,0.001,0.011,0.014,0,0,0.01,0.045,0.001,0.001,0.003,0,0.027,0
"41",0.771,0.837,0.584,0.809,0.017,0.247,0.949,0.561,0.007,0.735,0.33,0.25,0.491,0.003,0.187,0.027,0.021,0,0.019,0.028,0.029,0.003,0.066,0.004,0.004,0,0.024,0.001,0.006,0.005,0.166,0,0,0.004,0.057,0,0.004,0,0,0,0.033
"42",0.989,0.99,0.481,0.449,0.036,0.361,0.127,0.017,0.2,0,0.001,0.019,0,0.084,0.019,0.002,0.034,0.024,0.073,0,0,0.001,0.006,0.02,0,0.008,0.003,0.027,0.001,0.001,0,0.005,0.011,0.003,0.003,0,0.006,0,0.035,0,0
"43",0.656,0.187,0.38,0.23,0.069,0.306,0.345,0.209,0.019,0.152,0.82,0.002,0.031,0.115,0.096,0.106,0.02,0.083,0.014,0.001,0,0,0.025,0.001,0.027,0,0.032,0.002,0.013,0,0.017,0.01,0.001,0.003,0.001,0,0.002,0.001,0.013,0,0
"44",0.871,0.04,0.26,0.685,0.653,0.028,0.774,0.662,0.142,0.15,0.836,0.057,0.906,0.005,0.129,0.001,0.022,0.011,0.047,0.048,0.031,0.014,0.054,0.003,0,0.011,0.003,0,0.007,0.045,0.001,0.036,0.001,0.001,0,0,0.001,0,0.001,0.002,0
"45",0.378,0.421,0.241,0.991,0.744,0.281,0.65,0.001,0.06,0.094,0.258,0.001,0.005,0.059,0.006,0.007,0.038,0.015,0.043,0,0.004,0.006,0,0,0,0.064,0,0.002,0.04,0.037,0,0,0.006,0.001,0.001,0,0,0,0,0,0
"46",0.545,0.159,0.747,0.121,0.207,0.486,0.768,0.138,0.127,0.405,0.535,0.097,0.574,0.004,0,0.207,0.022,0.019,0,0.03,0.033,0.014,0,0.001,0.001,0.069,0,0,0.001,0.003,0,0.002,0,0,0.005,0,0.069,0.02,0,0.001,0
"47",0.576,0.714,0.315,0.993,0.704,0.762,0.517,0.907,0.059,0.001,0.983,0.996,0.156,0.005,0.032,0.079,0.093,0.045,0.001,0.003,0.01,0.04,0,0,0.025,0,0,0.001,0,0,0,0.004,0,0,0,0.003,0,0,0,0.001,0.002
"48",0.048,0.187,0.821,0.961,0.157,0.994,0.999,0.214,0.432,0.013,0.158,0.092,0.072,0.449,0.545,0.064,0,0.132,0.017,0.025,0.005,0.019,0.006,0.001,0.001,0.047,0,0.001,0.002,0,0,0.014,0.08,0.02,0.003,0.002,0,0,0.07,0,0
"49",0.934,0.673,0.179,0.148,0.367,0.575,0.706,0.122,0.031,0.417,0.006,0.289,0.049,0.013,0.563,0.033,0,0,0.001,0.011,0.002,0.023,0,0.008,0.057,0,0,0,0,0,0.014,0.001,0.091,0.001,0.004,0.004,0.049,0.008,0,0.002,0.003
"50",0.005,0.786,0.343,0.857,0.368,0.668,0.185,0.828,0.498,0.122,0.115,0.313,0.091,0.007,0.003,0.31,0.005,0.056,0.072,0.017,0.023,0,0.018,0.009,0,0,0.017,0.006,0.005,0.001,0,0,0.019,0,0,0,0.052,0.002,0.006,0,0.021
"51",0.028,0.352,0.763,0.709,0.396,0.07,0.396,0.2,0.974,0.501,0.392,0.001,0.053,0.014,0.024,0.031,0.08,0.004,0.008,0.029,0.004,0.091,0,0.002,0,0.009,0.013,0.003,0.011,0,0,0,0.002,0.003,0,0.224,0.001,0.001,0.01,0.034,0
"52",0.663,0.633,0.054,0.466,0.976,0.78,0.186,0.254,0.278,0.362,0.697,0.025,0.204,0.457,0.904,0.006,0.168,0.669,0.905,0,0.067,0.042,0.151,0.078,0.023,0.003,0,0,0,0.003,0,0,0,0.008,0.002,0.001,0,0,0,0.001,0
"53",0.073,0.782,0.981,0.464,0.685,0.814,0.731,0.77,0.005,0.872,0.367,0.052,0.787,0.067,0,0.002,0.009,0.002,0.029,0.892,0.013,0.02,0.001,0.017,0.004,0,0,0,0.014,0.005,0.007,0.002,0.004,0.001,0.001,0.001,0.019,0,0,0,0.001
"54",0.57,0.158,0.722,0.107,0.186,0.615,0.33,0.067,0.539,0.792,0.916,0.042,0.053,0.049,0,0.109,0.127,0.077,0.002,0.002,0.002,0,0.006,0.058,0.036,0.002,0.01,0.002,0,0.006,0.091,0.009,0,0.005,0.029,0.001,0,0,0,0,0.014
"55",0.154,0.473,0.314,0.447,0.185,0.181,0.012,0.644,0.449,0.101,0.006,0.143,0.375,0.002,0.22,0.091,0.107,0,0,0.023,0.005,0,0.006,0.015,0,0.018,0,0.069,0.002,0.035,0,0.001,0,0.025,0.004,0.154,0.075,0.055,0,0,0
"56",0.501,0.553,0.266,0.264,0.272,0.451,0.763,0.954,0.05,0.131,0.5,0.928,0.001,0.175,0.261,0.075,0.052,0,0.057,0.058,0.062,0.048,0,0,0.013,0,0.003,0.001,0.004,0,0.013,0,0.007,0.014,0.067,0,0,0.001,0,0,0.005
"57",0.619,0.749,0.223,0.121,0.063,0.649,0.46,0.085,0.024,0.161,0.547,0.057,0.02,0.061,0.1,0.194,0.045,0,0.021,0.009,0.018,0.053,0.051,0.088,0.073,0.001,0.002,0.002,0.006,0,0.007,0,0,0,0.003,0.009,0.012,0.175,0,0.002,0
"58",0.041,0.745,0.77,0.652,0.442,0.908,0.44,0.45,0.916,0.31,0.003,0.002,0.127,0.77,0.005,0.001,0.025,0.066,0.004,0.117,0.742,0.005,0.005,0,0,0.045,0.074,0.032,0,0.007,0.03,0,0,0,0.023,0.021,0,0.005,0.001,0,0
"59",0.325,0.182,0.116,0.243,0.272,0.524,0.717,0.1,0.354,0.945,0.853,0.165,0.521,0.05,0.001,0.008,0.004,0,0.14,0,0,0.007,0.095,0.001,0.013,0,0.043,0,0.016,0,0.009,0.001,0.001,0,0,0,0,0,0,0,0.002
"60",0.153,0.88,0.133,0.76,0.57,0.283,0.115,0.926,0.771,0.683,0.847,0.263,0.814,0.258,0.092,0.686,0.005,0.059,0.008,0,0.062,0.01,0.002,0.05,0,0,0,0.002,0.028,0,0,0.011,0,0.023,0.005,0.002,0,0.001,0,0.02,0
"61",0.509,0.953,0.557,0.68,0.781,0.121,0.026,0.69,0.359,0.01,0.01,0.008,0.059,0.014,0.023,0.018,0.219,0,0.863,0,0,0,0.003,0.059,0,0,0,0,0.022,0.003,0.044,0.038,0.001,0.01,0,0.006,0.001,0,0.004,0.004,0
"62",0.045,0.905,0.046,0.587,0.436,0.182,0.116,0.162,0.14,0.87,0.128,0.021,0.01,0.021,0.031,0.062,0.012,0.002,0.005,0.122,0.003,0.001,0.001,0.001,0,0.018,0,0,0.001,0,0.01,0,0.003,0,0,0,0.016,0,0.032,0.001,0.002
"63",0.56,0.584,0.338,0.251,0.549,0.372,0.195,0.44,0.568,0.12,0.389,0.011,0.015,0.285,0.113,0,0.004,0.125,0.014,0.02,0,0.002,0.056,0,0.006,0.01,0.035,0.001,0.001,0.002,0.004,0.008,0,0.005,0.023,0.001,0,0.006,0.032,0.08,0.008
"64",0.115,0.505,0.864,0.105,0.475,0.023,0.639,0.207,0.732,0.562,0.014,0.278,0,0.088,0.065,0.734,0.016,0.001,0.022,0.121,0,0,0.004,0,0,0.017,0,0.01,0.055,0.021,0.055,0.009,0.006,0,0,0,0,0.003,0,0.001,0.13
"65",0.172,0.415,0.07,0.701,0.061,0.065,0.024,0.859,0.799,0.821,0.084,0.136,0.853,0.003,0.903,0.017,0.094,0.003,0,0.012,0.002,0.013,0.006,0.003,0,0.085,0,0.012,0.001,0.002,0,0.069,0.025,0.042,0.045,0.002,0.138,0.061,0.07,0,0.028
"66",0.832,0.488,0.899,0.172,0.325,0.063,0.777,0.36,0.006,0.513,0.847,0.015,0.024,0.244,0.013,0.05,0.531,0.008,0.087,0.044,0.002,0.008,0.013,0,0.008,0.015,0.047,0,0.001,0.054,0.019,0.001,0.002,0,0.006,0.001,0.038,0,0,0.008,0
"67",0.953,0.917,0.092,0.332,0.102,0.05,0.675,0.764,0.791,0.01,0.288,0,0,0.849,0.601,0.021,0.916,0.144,0.003,0.001,0.007,0.031,0.003,0.018,0,0,0.002,0.006,0.036,0,0.007,0,0.002,0.001,0.003,0.011,0.003,0.012,0.001,0,0
"68",0.675,0.766,0.937,0.779,0.52,0.681,0.746,0.016,0.004,0.166,0.963,0.211,0,0.177,0.443,0.082,0,0,0,0.003,0.169,0.001,0,0,0.003,0.966,0,0.001,0.009,0,0.024,0,0.001,0,0,0.019,0.008,0.045,0,0,0
"69",0.908,0.008,0.802,0.417,0.939,0.597,0.156,0.706,0.094,0.003,0.279,0.061,0.02,0.847,0.005,0.01,0.002,0,0.002,0.184,0,0,0.064,0,0,0.06,0,0,0.001,0,0.006,0,0.016,0.035,0,0.001,0.063,0.005,0,0,0
"70",0.651,0.567,0.652,0.998,0.682,0.753,0.512,0.171,0.008,0.266,0.825,0.549,0.09,0.13,0.013,0.439,0,0.022,0,0.003,0.079,0.04,0.017,0.006,0,0,0.005,0,0,0,0.001,0,0.008,0,0.015,0.017,0,0,0,0,0
"71",0.822,0.107,0.893,0.704,0.291,0.166,0.558,0.002,0.524,0.695,0.172,0.023,0.171,0.008,0.007,0.381,0.225,0,0.18,0.002,0.007,0.005,0.168,0.134,0.01,0.036,0,0,0.006,0.001,0.045,0,0.058,0.118,0,0,0.018,0,0,0,0
"72",0.136,0.481,0.142,0.007,0.318,0.181,0.072,0.045,0.553,0.118,0.193,0.025,0.011,0.071,0.088,0.023,0.013,0,0.016,0.002,0.014,0.018,0.124,0.005,0,0.013,0,0,0,0,0.001,0.012,0.003,0,0,0.03,0.002,0,0,0,0
"73",0.675,0.564,0.69,0.75,0.981,0.878,0.373,0.745,0.121,0.022,0.212,0.031,0.012,0.008,0.014,0,0.103,0.003,0.338,0.001,0.002,0.009,0.016,0.053,0.027,0,0,0,0.001,0,0,0.017,0.005,0,0.006,0,0,0,0,0,0
"74",0.875,0.943,0.193,0.012,0.274,0.714,0.004,0.254,0.012,0.012,0.085,0.602,0.044,0.027,0.081,0,0.012,0,0.008,0.145,0.001,0,0,0.003,0.12,0.012,0.051,0.002,0.002,0,0.014,0,0.004,0,0,0,0,0,0.003,0.01,0
"75",0.854,0.785,0.915,0.936,0.182,0.613,0.123,0.19,0.605,0.848,0.079,0.804,0,0.055,0.004,0.111,0.012,0.024,0,0.075,0.017,0.003,0,0,0,0.002,0.001,0.008,0,0.002,0.007,0.003,0,0.005,0.001,0.007,0.003,0,0,0,0.033
"76",0.59,0.185,0.716,0.317,0.003,0.658,0.906,0.057,0.189,0.136,0,0.478,0.506,0.696,0,0.006,0.375,0.044,0.044,0,0,0.003,0.102,0.115,0.063,0.001,0,0.003,0.096,0,0.001,0,0,0.028,0,0.022,0.001,0.001,0,0.006,0.001
"77",0.639,0.188,0.806,0.707,0.727,0.177,0.523,0.277,0.173,0.711,0.146,0.139,0.012,0.778,0.037,0.875,0,0.04,0.085,0,0.248,0,0,0.026,0.037,0,0.003,0,0.038,0,0,0.004,0.002,0.005,0.002,0.042,0,0.009,0,0,0.003
"78",0.792,0.026,0.349,0.972,0.735,0.212,0.32,0.795,0.472,0.431,0.75,0.069,0.023,0.145,0.156,0.002,0,0.014,0.012,0.092,0.03,0.12,0.003,0.023,0.006,0.011,0.022,0,0,0.006,0,0,0.001,0,0,0.001,0.003,0,0,0.003,0.001
"79",0.982,0.2,0.548,0.713,0.859,0.142,0.568,0.332,0.003,0.003,0.093,0.047,0.001,0.002,0.003,0.002,0.119,0.062,0.058,0,0.138,0.074,0.094,0.032,0,0.001,0.001,0,0.015,0.09,0,0.015,0,0,0.04,0,0,0.003,0.001,0,0.031
"80",0.083,0.727,0.323,0.27,0.337,0.354,0.845,0.858,0.488,0.774,0.178,0.001,0.021,0,0,0.013,0.032,0.001,0.014,0,0,0.033,0,0.001,0.001,0.011,0.003,0.001,0.03,0.027,0.007,0.014,0.003,0,0,0,0.006,0,0.001,0.002,0
"81",0.778,0.475,0.653,0.464,0.193,0.29,0.641,0.437,0.721,0.043,0.037,0.798,0.965,0.01,0.041,0.017,0.929,0.009,0.02,0,0,0,0.034,0,0.119,0.012,0.021,0.008,0,0,0,0,0.003,0,0.035,0,0.01,0.01,0.001,0.071,0
"82",0.894,0.425,0.338,0.119,0.103,0.861,0.522,0.677,0.234,0.067,0.003,0.001,0.001,0.192,0.071,0.233,0.003,0.015,0.005,0.082,0.109,0.041,0.032,0.002,0.004,0.002,0.002,0.005,0,0,0,0,0,0.025,0.002,0,0,0.003,0,0.007,0.002
"83",0.277,0.584,0.091,0.792,0.729,0.285,0.052,0.985,0.874,0.768,0.093,0.289,0,0.002,0.201,0.677,0,0.067,0.002,0,0.072,0.001,0.049,0.057,0.079,0.012,0,0,0.004,0,0.002,0.025,0.009,0.003,0.034,0.012,0.002,0,0,0,0
"84",0.259,0.851,0.798,0.937,0.131,0.357,0.682,0.551,0.203,0.016,0.503,0.085,0.001,0.006,0,0.028,0,0.827,0,0,0.096,0,0,0,0.002,0,0.023,0.012,0,0,0.001,0.001,0.001,0.009,0.001,0.01,0,0,0.001,0.001,0.016
"85",0.12,0.832,0.171,0.989,0.089,0.051,0.2,0.621,0.717,0.054,0.458,0.081,0,0.097,0.028,0.022,0.003,0.395,0.461,0.009,0.13,0.069,0.003,0,0,0.052,0,0.025,0.049,0.014,0,0.014,0.013,0.009,0.038,0.034,0,0,0.059,0,0
"86",0.819,0.13,0.742,0.885,0.111,0.527,0.621,0.984,0.011,0.131,0.566,0.007,0.153,0.042,0.055,0.004,0.008,0.102,0.087,0.006,0.001,0.018,0.073,0,0,0,0.004,0.01,0.017,0.01,0.057,0.007,0.01,0,0,0.01,0,0,0,0.03,0.009
"87",0.063,0.191,0.805,0.06,0.441,0.689,0.282,0.936,0.004,0.945,0.194,0.269,0.005,0.335,0.015,0.353,0,0.03,0.112,0.312,0.028,0.652,0,0.033,0.089,0,0,0.079,0,0.003,0,0,0.002,0,0.003,0,0.002,0,0.013,0.001,0.004
"88",0.578,0.992,0.886,0.311,0.859,0.817,0.728,0.342,0.324,0.45,0.116,0.057,0.55,0.05,0.188,0.048,0.021,0,0.001,0.015,0.009,0,0,0.131,0.002,0.004,0.022,0.001,0.01,0,0,0.006,0,0,0.091,0,0.002,0.002,0,0,0.002
"89",0.83,0.456,0.177,0.378,0.917,0.233,0.992,0.828,0.034,0.575,0.01,0.103,0.019,0.399,0.025,0.019,0.009,0.263,0.127,0.031,0.012,0.056,0.008,0.001,0,0,0.003,0.001,0.078,0,0.052,0.001,0,0.007,0,0.072,0.001,0,0.005,0.005,0.002
"90",0.215,0.25,0.296,0.421,0.858,0.339,0.99,0.067,0.062,0.525,0.178,0.112,0.001,0,0.024,0,0.002,0.006,0.058,0.023,0,0.002,0.068,0.008,0.004,0.002,0,0,0,0.001,0.005,0.016,0.006,0.001,0,0,0.01,0.004,0,0.004,0
"91",0.734,0.53,0.527,0.108,0.009,0.23,0.967,0.842,0.174,0.37,0.027,0.039,0.465,0.053,0,0.003,0.163,0.056,0.011,0.001,0.003,0.004,0.012,0.002,0.006,0,0,0,0,0.002,0.003,0,0.002,0,0.086,0.024,0,0,0.02,0.004,0.038
"92",0.87,0.387,0.938,0.922,0.12,0.446,0.094,0.893,0.246,0.028,0.078,0.45,0.159,0.007,0.034,0,0.369,0.004,0,0.001,0.034,0.001,0.029,0,0.005,0.003,0.056,0.017,0.021,0,0,0,0.01,0.006,0.005,0.012,0,0.001,0,0.001,0.001
